"theta1","theta2","Loss"
-1,-1,7614.12305112492
-1,-0.99,7608.26910129737
-1,-0.98,7602.46975927165
-1,-0.97,7596.72514229872
-1,-0.96,7591.03536684838
-1,-0.95,7585.4005485988
-1,-0.94,7579.82080242609
-1,-0.93,7574.29624239388
-1,-0.92,7568.82698174288
-1,-0.91,7563.41313288053
-1,-0.9,7558.05480737064
-1,-0.89,7552.75211592308
-1,-0.88,7547.50516838347
-1,-0.87,7542.31407372292
-1,-0.86,7537.17894002782
-1,-0.85,7532.09987448964
-1,-0.84,7527.07698339479
-1,-0.83,7522.11037211449
-1,-0.82,7517.20014509475
-1,-0.81,7512.34640584631
-1,-0.8,7507.54925693465
-1,-0.79,7502.80879997013
-1,-0.78,7498.12513559808
-1,-0.77,7493.49836348896
-1,-0.76,7488.92858232862
-1,-0.75,7484.41588980862
-1,-0.74,7479.96038261652
-1,-0.73,7475.56215642635
-1,-0.72,7471.22130588905
-1,-0.71,7466.93792462304
-1,-0.7,7462.71210520482
-1,-0.69,7458.54393915964
-1,-0.68,7454.4335169523
-1,-0.67,7450.3809279779
-1,-0.66,7446.38626055282
-1,-0.65,7442.44960190566
-1,-0.64,7438.5710381683
-1,-0.63,7434.75065436707
-1,-0.62,7430.98853441396
-1,-0.61,7427.28476109792
-1,-0.6,7423.6394160763
-1,-0.59,7420.05257986632
-1,-0.58,7416.52433183666
-1,-0.57,7413.05475019914
-1,-0.56,7409.64391200049
-1,-0.55,7406.29189311421
-1,-0.54,7402.99876823261
-1,-0.53,7399.76461085881
-1,-0.52,7396.58949329893
-1,-0.51,7393.47348665445
-1,-0.5,7390.41666081449
-1,-0.49,7387.41908444842
-1,-0.48,7384.48082499839
-1,-0.47,7381.60194867213
-1,-0.46,7378.78252043574
-1,-0.45,7376.02260400666
-1,-0.44,7373.32226184677
-1,-0.43,7370.68155515557
-1,-0.42,7368.1005438635
-1,-0.41,7365.57928662541
-1,-0.4,7363.11784081406
-1,-0.39,7360.71626251393
-1,-0.38,7358.37460651491
